|id |uuid                                |title                   |description|created_at             |nodes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |client_id|
|10|74276b79-8e9b-41f6-a203-6176a748bbf8|0030 - IPMED CAM11 ZONA 39|SIGMA|2024-05-08 22:50:24.228|[{"id":"4e4a7395-6d37-4a01-8906-d040e1d6af0f","outputs":{},"params":{},"type":"stop","x":437,"y":385},{"id":"fd913174-194c-43c6-a05e-9c17e591b3ae","outputs":{0:"1715219487039"},"params":{},"type":"start","x":100,"y":100},{"id":"1715219487039","outputs":{0:"4e4a7395-6d37-4a01-8906-d040e1d6af0f"},"params":{"account_id":"0030","partition":"1","zone":"39","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715219487041,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":290,"y":270}]|6|
|11|08abdd49-cb4b-4af0-b302-cc3e4dfc9950|0030 - IPMED CAM12 ZONA 40|SIGMA|2024-05-08 22:50:56.032|[{"id":"65b73253-1000-46d4-bcd6-5579969f2b05","outputs":{},"params":{},"type":"stop","x":319,"y":381},{"id":"bee77fef-f5b5-4c91-838d-14d312b9651d","outputs":{0:"1715219534763"},"params":{},"type":"start","x":100,"y":100},{"id":"1715219534763","outputs":{0:"65b73253-1000-46d4-bcd6-5579969f2b05"},"params":{"account_id":"0030","partition":"1","zone":"40","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715219534764,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":230,"y":270}]|6|
|12|d07268a9-ad79-4aaf-b4bf-8d53e43cd1a9|0038 - LUVEP CAM13 ZONA 52|SIGMA|2024-05-08 23:06:50.24|[{"id":"da302228-bc79-407e-a1f8-39f4f86f278d","outputs":{},"params":{},"type":"stop","x":424,"y":381},{"id":"43f5c7bc-b723-427d-91ad-98a7b19254a1","outputs":{0:"1715220506334"},"params":{},"type":"start","x":100,"y":100},{"id":"1715220506334","outputs":{0:"da302228-bc79-407e-a1f8-39f4f86f278d"},"params":{"account_id":"0038","partition":"1","zone":"52","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715220506336,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":290,"y":270}]|6|
|13|07f4e4c0-383d-4343-96f8-9a858c75137f|0038 - LUVEP CAM06  ZONA53|SIGMA|2024-05-08 23:12:26.551|[{"id":"3125d8e9-5b14-41f8-a278-9e88d91564e5","outputs":{},"params":{},"type":"stop","x":503,"y":386},{"id":"b84dbe63-ee95-41d5-980c-d0e59736abd0","outputs":{0:"1715220778677"},"params":{},"type":"start","x":100,"y":100},{"id":"1715220778677","outputs":{0:"3125d8e9-5b14-41f8-a278-9e88d91564e5"},"params":{"account_id":"0038","partition":"1","zone":"53","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715220778679,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":330,"y":270}]|6|
|14|2282793d-13c3-45ef-ab20-fb2561253f05|LPR -PRO|SHEETS|2024-05-11 13:51:16.247|[{"id":"311f6591-e284-40ff-a37e-252d874bc85f","outputs":{},"params":{},"type":"stop","x":499,"y":391},{"id":"950aaac4-536a-4e4c-bbae-dc39db1247b9","outputs":{0:"1715446361253"},"params":{},"type":"start","x":100,"y":100},{"id":"1715446361253","outputs":{0:"311f6591-e284-40ff-a37e-252d874bc85f",1:""},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"","value":""}],"max_threads":5,"extra":[{"param":"","value":""}],"id":1715446361255,"url":"https://script.google.com/macros/s/AKfycbyylpDU1Mk63uCtP5kzkadgiADJiW_FS8D-GYApTJhEFeoUqiEkiZSYDM-aTyLIFihc/exec?gid=0"},"type":"api","x":330,"y":270}]|0|
|15|3f37139e-a88e-492e-9a4a-3412765a00d7|0038 - LUVEP DVR2 CAM6 ZONA51|SIGMA|2024-05-13 22:09:40.754|[{"id":"0186e5ae-9e21-464a-aa51-cb2af5fc31e4","outputs":{},"params":{},"type":"stop","x":353,"y":391},{"id":"707c3889-815d-4e4e-80ac-ea6a45ea5507","outputs":{0:"1715649025500"},"params":{},"type":"start","x":100,"y":100},{"id":"1715649025500","outputs":{0:"0186e5ae-9e21-464a-aa51-cb2af5fc31e4"},"params":{"account_id":"0038","partition":"1","zone":"51","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715649025502,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":250,"y":270}]|6|
|16|51e254c2-4ad5-4ca4-b720-4b78b8d8ee3b|0038 - LUVEP DVR2 CAM3 ZONA49|SIGMA|2024-05-13 22:11:51.455|[{"id":"92488422-dd38-42e7-a4ef-112937e09228","outputs":{},"params":{},"type":"stop","x":320,"y":400},{"id":"44796e46-e349-4feb-b8d4-752f1db0047e","outputs":{0:"1715649127135"},"params":{},"type":"start","x":100,"y":100},{"id":"1715649127135","outputs":{0:"92488422-dd38-42e7-a4ef-112937e09228"},"params":{"account_id":"0038","partition":"1","zone":"49","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715649127136,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":203,"y":281}]|6|
|17|3e017d9a-30d6-4a33-b894-ea7cce9f6a47|0038 - LUVEP DVR02 CAM1 ZONA50|SIGMA|2024-05-13 22:13:33.682|[{"id":"3b735380-3671-4123-b2ca-d65a1dbdfa8c","outputs":{},"params":{},"type":"stop","x":401,"y":387},{"id":"5f5cb98a-2593-41c7-941a-162871974f8a","outputs":{0:"1715649227932"},"params":{},"type":"start","x":100,"y":100},{"id":"1715649227932","outputs":{0:"3b735380-3671-4123-b2ca-d65a1dbdfa8c"},"params":{"account_id":"0038","partition":"1","zone":"50","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715649227933,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":230,"y":270}]|6|
|18|5378fc04-7042-453f-8ba2-8a08f6772440|0058 - SHOPPING LARANJEIRAS - CAM01 ZONA 45|SIGMA|2024-05-20 17:45:45.453|[{"id":"49e59ce5-b07d-4c03-a3c6-b4823faa985d","outputs":{},"params":{},"type":"stop","x":479,"y":376},{"id":"460d85fa-3ef1-4e25-8866-87c3c876afb9","outputs":{0:"1716238073945"},"params":{},"type":"start","x":100,"y":100},{"id":"1716238073945","outputs":{0:"49e59ce5-b07d-4c03-a3c6-b4823faa985d"},"params":{"account_id":"0058","partition":"1","zone":"45","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1716238073946,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":310,"y":270}]|6|
|19|d1966436-5a92-4059-bcd1-1b96268675e9|0058 - SHOPPING LARANJEIRAS - CAM02 ZONA 46|SIGMA|2024-05-20 17:45:58.681|[{"id":"e7559da8-5351-4ff6-9bea-fc61a05ed808","outputs":{},"params":{},"type":"stop","x":381,"y":400},{"id":"22216c8c-15c8-4bb3-bf4b-fd9aa3d2a537","outputs":{0:"1716238107558"},"params":{},"type":"start","x":100,"y":100},{"id":"1716238107558","outputs":{0:"e7559da8-5351-4ff6-9bea-fc61a05ed808"},"params":{"account_id":"0058","partition":"1","zone":"46","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1716238107560,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":270,"y":290}]|6|
|20|cef89e79-6753-4d56-88b9-fbe1306b8a02|Teste|Teste|2024-05-27 09:31:01.098|[{"id":"37a5939b-a914-4796-88af-c7707ac64519","outputs":{},"params":{},"type":"stop","x":540,"y":401},{"id":"5ff5e5f7-9148-494c-b9c6-83cdf5d19d07","outputs":{0:"1733090746199"},"params":{},"type":"start","x":100,"y":100},{"id":"1733090746199","outputs":{0:"37a5939b-a914-4796-88af-c7707ac64519",1:""},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"","value":""}],"max_threads":5,"extra":[{"param":"","value":""}],"id":1733090746201,"url":"https://webhook.site/501b0218-07f3-4a94-9460-ba3c30e7df9f"},"type":"api","x":350,"y":290}]|0|
|21|57caa127-1d37-4324-a550-345b25d39b8b|6002 - FACIAL SHOPPING VITORIA|ALERTAS|2024-06-03 19:59:25.831|[{"id":"24e0d3a2-c7c7-4ce1-bbfa-51f5cbcb14fa","outputs":{},"params":{},"type":"stop","x":517,"y":391},{"id":"5defd4c0-2785-4b1f-a8b7-3f10c0f183bb","outputs":{0:"1717455714065"},"params":{},"type":"start","x":100,"y":100},{"id":"1717455714065","outputs":{0:"24e0d3a2-c7c7-4ce1-bbfa-51f5cbcb14fa"},"params":{"account_id":"6002","partition":"0","zone":"10","event_code":"DRFP","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6OTQyLCJ1c2VybmFtZSI6IlZDTE9VRCIsImxhbmd1YWdlIjoicHRfQlIiLCJ0b2tlbklkIjoiMzc4ZDk0NmItOTM2NC00NTM1LTk4NDctYjQ1ODMzNjExZjFjIn0.ir9CwwR0-ZGs4PZSOBxr36QEx4goscXej2wS9pGBZzdhrF3yWKcH0Zn4JCnIFLaW7VYpVIReHHdcjmbQh35Jqg","id":1717455714067,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":330,"y":270}]|40|
|22|673cb3fc-69fc-4003-8bf0-319b4bbfe106|7000 - DETECCAO DE ARMA - TESTES|ALERTAS|2024-06-04 07:53:54.983|[{"id":"c9264440-15d7-4265-a4fb-441fdc0c5794","outputs":{},"params":{},"type":"stop","x":430,"y":387},{"id":"e2de6c89-d906-4a91-b4dd-7c1683af2483","outputs":{0:"1717498486939"},"params":{},"type":"start","x":100,"y":100},{"id":"1717498486939","outputs":{0:"c9264440-15d7-4265-a4fb-441fdc0c5794"},"params":{"account_id":"7000","partition":"0","zone":"3","event_code":"A801","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6OTQyLCJ1c2VybmFtZSI6IlZDTE9VRCIsImxhbmd1YWdlIjoicHRfQlIiLCJ0b2tlbklkIjoiMzc4ZDk0NmItOTM2NC00NTM1LTk4NDctYjQ1ODMzNjExZjFjIn0.ir9CwwR0-ZGs4PZSOBxr36QEx4goscXej2wS9pGBZzdhrF3yWKcH0Zn4JCnIFLaW7VYpVIReHHdcjmbQh35Jqg","id":1717498486940,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":290,"y":270}]|0|
|23|468a3d08-fc40-429e-a2a9-0969208b3a0e|Teste 4|Teste 4|2024-06-07 11:41:30.355|[{"id":"9661f686-c48a-40eb-b74b-f2b983d9c7e0","outputs":{},"params":{},"type":"stop","x":100,"y":400},{"id":"2b24c1df-f61d-4f64-be61-a99a97ae269c","outputs":{0:"9661f686-c48a-40eb-b74b-f2b983d9c7e0"},"params":{},"type":"start","x":100,"y":100}]|0|
